排名,店铺,商品标题,最低价,最高价,商品中位价,商品均价,SKU数,商品链接
89,床垫工厂企业店,压缩盒子卷包独立袋装弹簧床垫超软记忆棉床垫软床垫家用双人床垫,323.8,609.5,456.59,467.72,28,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=976965979179
90,香港海马家具国际集团有限公司,补贴15%禧海马十大压缩卷包盒子床垫家用卧室弹簧乳胶席梦官方思,505.75,2888.0,1013.2,1420.61,15,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=701732482427
91,林氏家居官方旗舰店,林氏家居卷包独立弹簧床垫护脊家用卧室双人床垫林氏木业CDE610A,1898.76,2798.44,2297.52,2331.57,3,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=969291574167
92,Royal vip泰国乳胶总部,泰国进口乳胶床垫学生宿舍定制单人10cm厚5全正品薄垫软1.8m家用,148.9,1446.05,640.67,711.47,36,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=969996685431
93,栖作官方旗舰店,栖作奇遇黄麻床垫儿童小硬垫子可拆洗榻榻米折叠床垫薄垫软加硬,1581.85,4999.0,1741.65,2516.04,4,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=823199668749
94,雅兰官方旗舰店,【硬核】雅兰床垫国家补贴椰棕黄麻护脊儿童薄硬垫折叠榻榻米学生,1265.65,2200.65,1605.65,1662.32,18,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=577954512043
95,佰舒顿BOIRSDOL家具,床垫子180x200独立弹簧1米5高质量家庭用卧室乳胶席梦思加厚20cm,340.78,809.0,449.0,490.12,24,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=891773422566
96,全友家居官方旗舰店,全友家居0胶水椰棕儿童床垫硬垫子卧室家用单人护脊弹簧床垫1米5,925.65,1537.65,1078.65,1132.48,6,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=820641438679
97,海马亦言床垫企业店,海马亦言国家补贴儿童床垫家用0胶水薄款独立弹簧软硬12/15CM定制,551.65,1397.4,932.45,950.66,19,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=704475125539
98,海德兰床垫品牌店,海德兰天然椰棕榈床垫儿童护腰护脊硬棕垫家用0胶水薄乳胶可定制,391.0,1287.0,705.0,738.13,31,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=559960280555
99,喜临门官方旗舰店,【白骑士喜礼】喜临门主卧席梦思加厚乳胶偏硬黄麻七区弹簧床垫,2634.15,4398.75,2974.15,3267.64,7,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=786713219934
100,乐吾手工床垫企业店,【马尾毛】乐吾手工马尾毛阿正床垫整床无胶水独立袋弹簧席梦思,3780.0,11800.0,8770.0,8525.0,8,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=864214347290
101,雅兰官方旗舰店,【梦谣】雅兰薄款弹簧床垫国家补贴15cm乳胶儿童席梦思榻榻米垫,1919.3,2429.3,2089.3,2145.97,3,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=936929713080
102,佰舒顿BOIRSDOL家具,席梦思床垫1米5家用卧室独立弹簧厚20cm乳胶软垫180x200租房专用,340.42,809.0,434.0,469.83,24,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=1066888440277
103,蓝盒子官方旗舰店,蓝盒子 Z+床垫记忆棉独立袋装弹簧床垫出乎款单双人卧室席梦思,3706.0,4053.65,3879.82,3879.82,2,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=1047573933531
104,香榭柏兰床垫,天然椰棕榈床垫硬垫子家用卧室护脊乳胶婴儿童棕垫厚薄榻榻米定制,398.02,1279.0,709.08,746.06,32,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=539395409756
105,源氏木语官方旗舰店,源氏木语0胶水床垫卧室0压记忆棉垫3D芯材厚垫家用独立弹簧垫吐司,3345.4,3345.4,3345.4,3345.4,1,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=986140397293
106,香港海马集团商城企业店,记忆棉盒子独立弹簧床垫家用卧室12/15CM卷包压缩乳胶酒店软薄垫,492.15,682.55,592.45,589.9,12,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=703825777106
107,金可儿旗舰店,金可儿护脊软硬床垫五星酒店独立袋弹簧乳胶床垫国家补贴 护脊2.0,5498.65,10262.0,8968.0,8145.39,15,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=602097991418
108,蓝盒子官方旗舰店,【李佳琦直播间生活节】蓝盒子升级款 Z+记忆绵弹簧床垫,3926.15,3926.15,3926.15,3926.15,1,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=1046616090321
